date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:07:14	59388/59388	---M--	200	added ('OK')	font/ttf	etag:%2296418e2-e7fc-590df37ae13fb%22	http://zine.co.in/fonts/ElegantIcons.ttf	G:/ZineWebsite/twentyninth/zine.co.in/fonts/ElegantIcons.ttf	(from http://zine.co.in/css/elegant-icons.min.css)
23:07:22	279128/279128	---M--	200	added ('OK')	image/svg+xml	etag:%2296418ea-44258-590df37bb46fc%22	http://zine.co.in/fonts/ElegantIcons.svg	G:/ZineWebsite/twentyninth/zine.co.in/fonts/ElegantIcons.svg	(from http://zine.co.in/css/elegant-icons.min.css)
23:07:35	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2296418ec-12ae6-590df37b4597f%22	http://zine.co.in/fonts/fontawesome-webfont.eot?v=4.6.3	G:/ZineWebsite/twentyninth/zine.co.in/fonts/fontawesome-webfont5b62.eot	(from http://zine.co.in/css/font-awesome.min.css)
23:07:48	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2296418ec-12ae6-590df37b4597f%22	http://zine.co.in/fonts/fontawesome-webfont.eot?	G:/ZineWebsite/twentyninth/zine.co.in/fonts/fontawesome-webfontd41d.eot	(from http://zine.co.in/css/font-awesome.min.css)
23:08:01	71896/71896	---M--	200	added ('OK')	font/woff2	etag:%2296418ef-118d8-590df37bfee6d%22	http://zine.co.in/fonts/fontawesome-webfont.woff2?v=4.6.3	G:/ZineWebsite/twentyninth/zine.co.in/fonts/fontawesome-webfont5b62.woff2	(from http://zine.co.in/css/font-awesome.min.css)
23:08:14	1375377/1375377	---M--	200	added ('OK')	video/mp4	etag:%2296604c6-14fc91-590e6d0d43800%22	http://zine.co.in/video/Website_Compressed.mp4	G:/ZineWebsite/twentyninth/zine.co.in/video/Website_Compressed.mp4	(from http://zine.co.in/)
23:08:17	90412/90412	---M--	200	added ('OK')	font/woff	etag:%2296418f1-1612c-590df37c0b98e%22	http://zine.co.in/fonts/fontawesome-webfont.woff?v=4.6.3	G:/ZineWebsite/twentyninth/zine.co.in/fonts/fontawesome-webfont5b62.woff	(from http://zine.co.in/css/font-awesome.min.css)
23:08:24	392306/392306	---M--	200	added ('OK')	image/svg+xml	etag:%2296418f0-5fc72-590df37cdf078%22	http://zine.co.in/fonts/fontawesome-webfont.svg?v=4.6.3	G:/ZineWebsite/twentyninth/zine.co.in/fonts/fontawesome-webfont5b62.svg	(from http://zine.co.in/css/font-awesome.min.css)
23:08:33	45688/45688	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2296418f6-b278-590df37c7223b%22	http://zine.co.in/fonts/Pe-icon-7-stroke.eot?-2irksn	G:/ZineWebsite/twentyninth/zine.co.in/fonts/Pe-icon-7-strokea93c.eot	(from http://zine.co.in/css/pe-icon-7-stroke.min.css)
23:08:34	45688/45688	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2296418f6-b278-590df37c7223b%22	http://zine.co.in/fonts/Pe-icon-7-stroke.eot?	G:/ZineWebsite/twentyninth/zine.co.in/fonts/Pe-icon-7-stroked41d.eot	(from http://zine.co.in/css/pe-icon-7-stroke.min.css)
23:08:38	31068/31068	---M--	200	added ('OK')	font/woff	etag:%2296418f2-795c-590df37c0e09f%22	http://zine.co.in/fonts/Pe-icon-7-stroke.woff?-2irksn	G:/ZineWebsite/twentyninth/zine.co.in/fonts/Pe-icon-7-strokea93c.woff	(from http://zine.co.in/css/pe-icon-7-stroke.min.css)
23:08:44	132778/132778	---M--	200	added ('OK')	image/svg+xml	etag:%2296418f5-206aa-590df37c71e52%22	http://zine.co.in/fonts/Pe-icon-7-stroke.svg?-2irksn	G:/ZineWebsite/twentyninth/zine.co.in/fonts/Pe-icon-7-strokea93c.svg	(from http://zine.co.in/css/pe-icon-7-stroke.min.css)
23:08:44	152796/152796	---M--	200	added ('OK')	font/ttf	etag:%2296418ee-254dc-590df37babe43%22	http://zine.co.in/fonts/fontawesome-webfont.ttf?v=4.6.3	G:/ZineWebsite/twentyninth/zine.co.in/fonts/fontawesome-webfont5b62.ttf	(from http://zine.co.in/css/font-awesome.min.css)
23:08:45	280/280	---M--	200	added ('OK')	image/png	etag:%229660226-118-590c0b4faa900%22	http://zine.co.in/img/lightbox/close.png	G:/ZineWebsite/twentyninth/zine.co.in/img/lightbox/close.png	(from http://zine.co.in/css/lightbox.min.css)
23:08:46	1360/1360	---M--	200	added ('OK')	image/png	etag:%229660229-550-590c0b4faa900%22	http://zine.co.in/img/lightbox/prev.png	G:/ZineWebsite/twentyninth/zine.co.in/img/lightbox/prev.png	(from http://zine.co.in/css/lightbox.min.css)
23:08:46	45488/45488	---M--	200	added ('OK')	font/ttf	etag:%2296418f4-b1b0-590df37c614b0%22	http://zine.co.in/fonts/Pe-icon-7-stroke.ttf?-2irksn	G:/ZineWebsite/twentyninth/zine.co.in/fonts/Pe-icon-7-strokea93c.ttf	(from http://zine.co.in/css/pe-icon-7-stroke.min.css)
23:08:47	8476/8476	---M--	200	added ('OK')	image/gif	etag:%229660227-211c-590c0b4faa900%22	http://zine.co.in/img/lightbox/loading.gif	G:/ZineWebsite/twentyninth/zine.co.in/img/lightbox/loading.gif	(from http://zine.co.in/css/lightbox.min.css)
23:08:47	1350/1350	---M--	200	added ('OK')	image/png	etag:%229660228-546-590c0b4faa900%22	http://zine.co.in/img/lightbox/next.png	G:/ZineWebsite/twentyninth/zine.co.in/img/lightbox/next.png	(from http://zine.co.in/css/lightbox.min.css)
23:08:48	1699/1699	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2017:38:44%20GMT	http://zine.co.in/fossasia.ico	G:/ZineWebsite/twentyninth/zine.co.in/fossasia.ico	(from http://zine.co.in/team.php)
23:08:49	1699/1699	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2017:38:44%20GMT	http://zine.co.in/about/index.html	G:/ZineWebsite/twentyninth/zine.co.in/about/index.html	(from http://zine.co.in/team.php)
23:08:49	1699/1699	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202019%2017:38:45%20GMT	http://zine.co.in/contacts.php	G:/ZineWebsite/twentyninth/zine.co.in/contacts.php	(from http://zine.co.in/team.php)
